name,quadrant,ring,isNew,description
Web Assembly,Languages-and-Frameworks,Hold,TRUE,"<p><strong>Web Assembly (Wasm)</strong> can reduce quite a bit the battery consumption on mobile devices (depending on the engine), since most of the processing steps have been completed ahead of time during compilation. With Web Assembly, we’ll be able to push some of the heaviest processing and rendering into a language that is better suited for the job.</p><p>The Wasm stack machine is designed to be encoded in a size- and load-time-efficient binary format which may save loading times.</p><p>Since our current stack there's no place for Web Assembly and the technology is still not as prominent we put it on hold for now.</p>"
Houdini,Languages-and-Frameworks,Assess,FALSE,"<p><strong>Houdini</strong> gives developers access to the CSS object model (CSSOM) for the very first time. Instead of updating styles in JavaScript, developers can write code that the browser understands and can parse as CSS!</p>"
Storybook,Languages-and-Frameworks,Trial,TRUE,"<p><strong>Storybook</strong> is an open source tool for developing UI components in isolation for React, Vue, Angular, and more. It makes building stunning UIs organized and efficient.</p><p>By using it as part of our common project stack, we save time and can offer our customers an accessible and beautiful overview over their UI components</p><p>We already use it successfully in at least one customer project.</p>"
Python,Languages-and-Frameworks,Assess,FALSE,"<p><strong>Python</strong> is an established battle tested general purpose programming language which is well known for its clear, simple and concise syntax.</p><p>Python3 gained a lot of traction in the last years because of its strengths in the fields of machine learning and data analysis. One major benefit for us could be the very small footprint for serverless functions and the very fast cold start times compared to Java or node.js.</p><p>We have no experience with the language and should asses it in prototypical projects.</p>"
Quarkus,Languages-and-Frameworks,Assess,FALSE,"<p>Quarkus is a <strong>Kubernetes-native framework</strong> for Java applications development released by Red Hat. It’s based on <strong>container-first</strong> philosophy and has a very fast startup and low memory utilization. That’s achieved by using <strong>ahead-of-time compilation</strong> to avoid the runtime costs. Quarkus supports both imperative and reactive models. It  represents the new generation of Java frameworks which address startup performance and low memory consumption with combination of easy and fast development process. It's gained a lot of community attention and support a lot of libraries we already work with.</p><p>Consider existing VI competence in Java, cloud- and application response time reduction trends we can develop small and fast cloud-based services with Quarkus.</p><p>So it’s worth to take a closer look on it and assess.</p>"
Micronaut,Languages-and-Frameworks,Hold,FALSE,"<p>Micronaut is JVM framework for building services using <strong>Java</strong>, Kotlin or Groovy for building modular, easily testable microservice and serverless applications. A small memory footprint and short startup time is achived by DI/AOP container with performas dependency injection at compile time and run it as native machine code with GraalVM.</p><p>Consider existing VI competence in Java and SpringBoot Applications it's easy for us to step into.</p><p>Micronaut is an alternative to Quarkus (and Spring Booot), whereas Quarkus is backed by RedHat and is built upon existing Java Standards. Thus, Quarkus seems to be more promising.</p>"
Functional Programming in JS,Techniques,Adopt,FALSE,"<p><strong>Functional Programming</strong> or FP is a programming paradigm which favors functions as units in your code over classes/objects.</p><p> This results in better testability and reusability. </p><p>We think we should adopt it, because it enables us to write more reusable code. Reusing tested code will help us to build code of higher quality and speed up development.</p>"
Mobile First,Techniques,Adopt,FALSE,"<p><strong>Mobile First</strong> is a method/concept to develop websites that are first and foremost optimized for the mobile web.</p><p>We benefit from using <strong>Mobile First</strong>, because the use of websites shifts more and more towards mobile and we want to deliver an optimal experience for the user.</p><p>Here at VI we are on the edge of adopting <strong>Mobile First</strong>, but to actually adopt it, in our opinion we need to embrace it in all our projects.</p>"
Test Driven Development (TDD),Techniques,Adopt,FALSE,"<p><strong>Test Driven Development (TDD)</strong> is the practise of writing tests before or alongside the writing of actual code which enables you to write your code in a more structured manner and also see bugs immediately upon changing the code.</p><p>TDD would benefit us greatly by reducing error proneness. TDD helps to prevent breaking existing functionality and only develop what we really need.</p><p>We should adopt it to focus on what we actually need to code and gain more confidence in our codebases. This will speed up our development and reduce the over-all effort we need to maintain our code.</p>"
PWA,Techniques,Adopt,FALSE,"<p>A progressive web application (PWA) is a type of application software delivered through the web, built using common web technologies including HTML, CSS and JavaScript. It is intended to work on any platform that uses a standards-compliant browser.</p>"
Atomic Design,Techniques,Trial,FALSE,"<p><strong>Atomic Design</strong> is a method based on the idea that a design system and structure of components is similar to chemical elements.</p><p>The advantage of this method is that different elements have a structured hierarchy, can be nested and used multiple times.</p><p>Here at VI we use a method to structure and add a hierarchy level to component in few projects. But to grasp the whole potential and scope of this method, we put it into the trial circle.</p>"
Web Animations,Techniques,Trial,FALSE,"<p><strong>Web Animations</strong> are an upcoming trend to enhance the user experience, by adding movement to web components.</p><p>We benefit from using <strong>Web Animations</strong>, because we want to deliver a new visual experience for our clients websites and their users to e.g. seperate from competetors.</p><p>At VI we use <strong>Web Animations</strong> in some projects already, but to grasp the whole potential and scope of the topic, we put it into the trial circle.</p>"
Machine Learning,Techniques,Hold,FALSE,"<p>Machine Learning is on everyone's lips and there are certainly many concrete topics we could note down, but we lack the general knowledge of what we can do with this trend and we are not able to provide information when talking to customers.</p><p>We as VI will probably not develop ML services, but we want to be able to use them.</p><p>For this purpose, a concrete use case would be helpful to get a feeling for the topic and also to be able to give a more confident figure in customer questions.</p><p>We put this on hold, because the relevance for VI is not clear. We've not heard of any project or use case that used machine learning services</p>"
Google Structured Data,Techniques,Assess,FALSE,"<p><strong>Google Structured Data</strong>Google uses structured data that it finds on the web to understand the content of the page, as well as to gather information about the web and the world in general.</p><p>We as Developers can use this data structure to improve SEO on a page as easy as possible (Job search, location pages).</p><p>We are already using it in a few projects and there are more projects with potential for it.</p>"
JAMstack,Techniques,Assess,FALSE,"<p>JAMstack stands for JavaScript, APIs, and Markup. The term was coined by Mathias Biilmann to describe a modern web development architecture</p>"
AWS,Platforms,Adopt,FALSE,"<p><strong>AWS</strong> is a collection of web services to do all kinds of serverless stuff.</p><p>It helps us to build a serverless infrastructure for lightweight, flexible applications.</p><p>We should adopt it, as it has already proven its usefulness in several projects.</p>"
Azure functions,Platforms,Trial,FALSE,"<p><strong>Azure</strong> is gaining popularity especially in Germany and for some market segments even overtook AWS. <strong>Azure Functions</strong> is basic building block for serverless architectures and the equivalent to AWS Lambdas which we already have experience with.</p><p>Existing clients ask for Azure instead of AWS and after the improvements of Azure in the last two years it is a real alternativ for us.</p><p>We already have applications running at Azure and moving an application from AWS to Azure is straight forward we can directly trial that technology.</p>"
Public container services,Platforms,Assess,FALSE,"<p>For some scenarios we only need one <strong>docker container</strong> as part of a solution without the need for a full fledged Kubernetes cluster. Public cloud providers like <strong>AWS</strong> or <strong>Azure</strong> provide corresponding managed services (e.g. AWS Fargate or Azure Container Instances) that make it very easy to deploy just a single container without any concern for the underlying infrastructure.</p><p>Kubernetes is often to big and expensive of a solution for smaller applications. Here such services would be a great solution.</p><p>In a first step we should get an overview of the existing solutions and their pros and cons to assess the next promissing platform.</p>"
Kubernetes,Tools,Adopt,FALSE,"<p><strong>Kubernetes (K8s)</strong> is an open-source system for automating deployment, scaling, and management of containerized applications.</p><p>It helps us to deploy, manage and automate applications that consist of a set of services. Without this support and automation, managing containerized applications becomes more difficult the more services the application contains.</p><p>We successfully use Kubernetes in projects. A migration to Kubernetes is currently being carried out for one of our biggest platforms.We therefore intend to use Kubernetes in principle for suitable projects in future.</p>"
Browser Dev Tools,Tools,Adopt,FALSE,"<p><strong>Dev tools</strong> in Firefox or Chrome are our tools as developers.</p><p>So we should know them by heart to quickly find bugs and enhance user experience.</p><p>Adopting it will speed up and improve our debugging abilities which will improve code quality and response time.</p>"
Invision,Tools,Adopt,FALSE,"<p><strong>Invision</strong> is a tool to hand over designs to the developer. Included are spacings, assets, colors, typefaces etc.</p><p>We benefit from using a tool like this in every project, because the communication/interface between design and dev will be noticeably optimized. Furthermore the exchange of design changes via pdf files and a versioning with pdf file names will be history.</p><p>We are already using it in several projects and the overall experience with this tool is positive. We already bought several global licenses for VI.</p>"
Firebase,Tools,Adopt,FALSE,"<p>Firebase is Google's mobile platform that helps you quickly develop high-quality apps and grow your business.</p>"
Biotope Quality Gate,Tools,Adopt,FALSE,"<p><strong>Biotope Quality Gate</strong> is a plugin for Biotope that is used for linting and which enforces a quality standard across the project.</p><p>By using BQG we would benefit by having a common project standard which reduces error proneness and time needed for code reviews.</p>"
Lottie,Tools,Trial,TRUE,"<p><strong>Lottie</strong> is an animation library that parses Adobe After Effects animations exported as json with Bodymovin and renders them natively on mobile and on the web.</p><p>With Lottie we are able to outsource the animation work to our designers and even complex animations can be implemented with ease.</p><p>Lottie is currently in the trial ring since we used the tool in some projects already and it has proven to be useful when working on animation heavy web projects.</p>"
Helm,Tools,Assess,FALSE,"<p><strong>Helm</strong> is a package manager for Kubernetes. All components of a Kubernetes application and their interaction can be summarized and described in a so-called Helm Chart.</p><p>With Helm, complex Kubernetes applications, which consist of many Kubernetes components (Services, Controller, ConfigMaps, Secrets...), can be managed easier, because Helm reduces the complexity.</p><p>In our DEV community we have no experience with Helm, but our partners have gained some experience. The next step here should be an exchange.</p>"
Pa11y CLI,Tools,Assess,FALSE,"<p>The key to adopting a11y standards as an organization is to make catching accessibility errors a priority. This can be done using Pa11y CI, a command line version of the tool, as a gatekeeper to prevent inaccessible code from being checked into the code base.</p><p>The benefit is to include a automated step in our workflow to raise awareness for accessability topics and shape the web accessible for everyone.</p><p>Here at VI we need to assess <strong>Pa11y</strong> to evaluate if the tool fit our needs and if we have the need to raise awareness for accessibility topics.</p>"
Biotope Sketcher,Tools,Hold,FALSE,"<p><strong>Biotope Sketcher</strong> generates sketch files from existing design systems (frontend code), which designers could then use for further adjusting the designs of components.</p><p>This would benefit us by enforcing a one way direction of truth. When DEVs update the code, the design files automatically get updates as well.</p>"
Zeplin,Tools,Hold,FALSE,"<p><strong>Zeplin</strong> is a tool to hand over designs to the developer. Included are spacings, assets, colors, typefaces etc.</p><p>We benefit from using a tool like this in every project, because the communication/interface between design and dev will be noticeably optimized. Furthermore the exchange of design changes via pdf files and a versioning with pdf file names will be history.</p><p>As we are using Invison company wide, there is no reason for now to test a new tool.</p><p>Here at VI, we <strong>already have some projects</strong> which make good use of Lombok.</p>"
Lombok,Tools,Adopt,TRUE,"<p>LOMBOK is a <strong>Java library</strong> that generates boilerplate code for Java classes including Getters, Setters, Constructors, Equals, Builder pattern, among others, at various levels of granularity at compilation time.</p><p>With this library it is possible to reduce the size of the code base, increase code readability and standardize implementation.</p>"
Keycloak,Tools,Adopt,TRUE,"<p><strong>Keycloak</strong> is an open source authentication and authorisation server. It suppports authentication/SSO with standard protocols (e. g. OpenId Connect with Json Web Tokens) and integration of external user directories (LDAP + Active directories).</p><p>With Keycloak, there is no need to implement security-sensitive features like user + password management and authentication mechanisms on your own. It provides easy integration into Spring based services and client apps.</p><p>Keycloak server is successfully integrated in different productional projects (Siedle, Caritas Online Beratung). In future, Keycloak should be adopted by choosing it as our default solution in projects where authentication and user management must not be implemented by public cloud services.</p>"
Sentry.io,Tools,Adopt,TRUE,"<p>Sentry.io is an open-source full-stack error tracking system which supports a wide range of server, browser, desktop and native mobile languages and frameworks including PHP, Node. js, Python, Ruby, C#, Java, Go, React, Angular, Vue, JavaScript and more.</p>"
"Functional Programming in Java",Techniques,Adopt,TRUE,"<p><strong>Functional programming</strong> is programming paradigm that allows programming using expressions i.e. declaring functions, passing functions as arguments and using functions as statements</p><p>Applying the core concepts help us writing cleaner and more concise code which is easier to maintain, to test and to be reused</p><p>We should adopt the concepts were applicable because they have been proven to be improve code quality and robustness in our projects</p>"
